herb_a,herb_b_or_drug,direction,interaction_type,mechanism,recommendation,severity,evidence,dose_threshold,context_tag,source_uri
ashwagandha,levothyroxine,herb_drug,pharmacokinetic,Ashwagandha may alter thyroid hormone regulation and interfere with levothyroxine absorption.,Do not combine ashwagandha with levothyroxine without clinician oversight. Thyroid hormone levels need monitoring.,high,validated,,,https://example.org/interactions/ashwagandha-levothyroxine
ashwagandha,benzodiazepines,herb_drug,additive_cns_depression,Ashwagandha has sedative properties that add to benzodiazepine CNS depression.,"Avoid combining with benzodiazepines. If sedative use is medically required, consult the prescribing physician.",high,validated,,,https://example.org/interactions/ashwagandha-benzodiazepines
ashwagandha,sedatives,herb_drug,additive_cns_depression,Additive sedative effect with CNS depressants.,Avoid combining with sedatives. Do not drive or operate machinery until cleared by a clinician.,high,probable,,,https://example.org/interactions/ashwagandha-sedatives
turmeric,warfarin,herb_drug,antiplatelet,Curcumin inhibits platelet aggregation and may potentiate warfarin anticoagulation.,Do not take therapeutic-dose turmeric with warfarin. INR must be monitored by the prescriber.,high,validated,>500mg,,https://example.org/interactions/turmeric-warfarin
turmeric,nsaids,herb_drug,gi_bleed_risk,Additive gastrointestinal bleeding risk with NSAIDs.,Caution: therapeutic turmeric with NSAIDs increases GI bleeding risk. Prefer food-grade amounts.,moderate,probable,>500mg,,https://example.org/interactions/turmeric-nsaids
licorice,thiazide_diuretics,herb_drug,hypokalemia,Glycyrrhizin increases potassium loss and potentiates thiazide diuretics.,Do not combine licorice with thiazide diuretics. Risk of dangerous hypokalemia.,high,validated,,,https://example.org/interactions/licorice-thiazide
licorice,ace_inhibitors,herb_drug,hypokalemia_hypertension,Licorice can raise blood pressure and worsen potassium handling on ACE inhibitors.,Caution: licorice may blunt the effect of ACE inhibitors and worsen potassium loss. Discuss with prescriber.,moderate,probable,,,https://example.org/interactions/licorice-ace
triphala,digoxin,herb_drug,digoxin_toxicity,Senna glycosides in triphala increase digoxin toxicity risk through electrolyte shifts.,Do not combine triphala with digoxin. This combination is dangerous.,high,validated,,,https://example.org/interactions/triphala-digoxin
guggul,warfarin,herb_drug,altered_inr,Guggul may alter INR in patients on warfarin.,Caution: monitor INR if guggul is used with warfarin. Discuss with prescriber.,moderate,probable,,,https://example.org/interactions/guggul-warfarin
brahmi,donepezil,herb_drug,additive_cholinergic,Brahmi has cholinergic activity that may add to cholinesterase inhibitors.,Caution: theoretical additive cholinergic effect with donepezil. Discuss with prescriber.,low,theoretical,,,https://example.org/interactions/brahmi-donepezil
shatavari,tamoxifen,herb_drug,phytoestrogen,Theoretical phytoestrogen activity may interact with hormonal therapies.,Caution: theoretical interaction with tamoxifen. Discuss with oncologist before use.,low,theoretical,,,https://example.org/interactions/shatavari-tamoxifen
ginger,warfarin,herb_drug,antiplatelet,High-dose ginger inhibits platelet aggregation and may add to warfarin.,Caution at high doses: monitor INR. Culinary ginger is generally safe.,moderate,probable,>4g,,https://example.org/interactions/ginger-warfarin
guduchi,metformin,herb_drug,additive_hypoglycemia,Guduchi may add to the glucose-lowering effect of metformin.,Do not combine guduchi with metformin without glucose monitoring. Risk of hypoglycemia.,high,probable,,,https://example.org/interactions/guduchi-metformin
guduchi,glimepiride,herb_drug,additive_hypoglycemia,Guduchi may add to sulfonylurea glucose-lowering.,Do not combine guduchi with glimepiride without glucose monitoring.,high,probable,,,https://example.org/interactions/guduchi-glimepiride
ashwagandha,,herb_drug,abortifacient,Classical texts describe uterotonic and abortifacient effects of ashwagandha.,Classical caution: ashwagandha is not recommended during pregnancy. Consult an Ayurvedic practitioner.,high,classical,,pregnancy,https://example.org/interactions/ashwagandha-pregnancy
triphala,,herb_drug,age_contraindication,Purgative herbs in triphala are not appropriate for young children without practitioner guidance.,Caution: triphala is not appropriate for children under 12 without practitioner guidance. Do not self-dose.,moderate,validated,,pediatric,https://example.org/interactions/triphala-pediatric
punarnava,ace_inhibitors,herb_drug,hyperkalemia_risk,Theoretical risk of additive potassium retention in renal impairment.,Caution: theoretical potassium-retention risk with ACE inhibitors in renal impairment. Discuss with nephrologist.,low,theoretical,,renal,https://example.org/interactions/punarnava-renal
licorice,hydrochlorothiazide,herb_drug,hypokalemia,Glycyrrhizin increases potassium loss and potentiates HCTZ.,Do not combine licorice with hydrochlorothiazide. Risk of dangerous hypokalemia.,high,validated,,,https://example.org/interactions/licorice-hctz
