canonical_herb,alias,language
ashwagandha,Withania somnifera,latin
ashwagandha,winter cherry,common
ashwagandha,aswagandha,hindi
ashwagandha,ashvagandha,sanskrit
turmeric,Curcuma longa,latin
turmeric,haldi,hindi
turmeric,haridra,sanskrit
turmeric,curcumin,common
licorice,Glycyrrhiza glabra,latin
licorice,yashtimadhu,sanskrit
licorice,mulethi,hindi
licorice,licorice root,common
brahmi,Bacopa monnieri,latin
brahmi,water hyssop,common
shatavari,Asparagus racemosus,latin
guggul,Commiphora mukul,latin
guggul,guggulu,sanskrit
ginger,Zingiber officinale,latin
ginger,adrak,hindi
ginger,shunti,sanskrit
guduchi,Tinospora cordifolia,latin
guduchi,giloy,hindi
guduchi,amrita,sanskrit
punarnava,Boerhavia diffusa,latin
punarnava,spreading hogweed,common
sarpagandha,Rauwolfia serpentina,latin
sarpagandha,indian snakeroot,common
triphala,haritaki trio,common
